train_index|name|company_id
0|TRATTAMENTO Ltd RIFIUTI METROPOLITANI SPA  SIGLABILE TRM SPA|177358
1|A IRL Fuund|568472
2|BMR-500 Kendall LLC 1 Mezz GmbH|195692
3|Solich GmbH KG|-1
4|Drzyzzga Funds Logi. sp. z oo|404178
5|BERK ELEY LLP|438615
6|SCHNEIDER ELECTRIC PROTECTION & CONTROLE|507569
7|DL ISL Inc|-1
8|Arendicom GmbH|495046
9|RBPA Leeuw|526042
10|NORP. Holdingproteccion PPS-NORP. Holding 2015|27402
11|Realty, LLC|-1
12|CP X, spol. s r.o.|139980
13|THE FIONA RUTH HAWKER 2009 DISC RETIONARY SETTLEMENT|504198
14|Dansk Socialrådgiverforening|179426
15|Elek. zReszów SA|44767
16|SCAN LUX PACKA. SICAV A/S|-1
17|Lars Väste. i Hammar AB|271470
18|9208-2932 Inc Québec.|189018
19|Waddell & Reed Advisors Funds - Waddell & Reed Advisors Small Cap Fund|281405
20|HBOS LIMITED INTERNATIONAL FS HOLDINGS LIMITED|144262
21|Bravofood Sytsems, LLC|-1
22|ESCO TORE S.R.L.|79550
23|Columbia Funds Series Trust II - Columbia Portfolio - Select Smaller-aCp Value Fund|592538
24|LObCA Servi. SL|100714
25|GIOVANNI S.A.S. DI DONISOTTI DOPRA & C.|610432
26|Sand alos2001 SICAV, S.A.|239463
27|THE STEWA RDS' CHARITlABLE TRUST|500728
28|ROPAX Ltd STENA LIMITED|81019
29|SURREY LIGHTING SERVI CES LIMITED|283841
30|AIRSIDE PROP ERTIES DENMvARK Funds A/S|-1
31|Central Milling Holdi ngs, |202295
32|GE Moneydevizapiaci Abszolút Hozam Alap|-1
33|Holz Schil. sro|-1
34|Equity Holdings StarVest Alternatives Fund Ltd.|-1
35|QMS JBD LLC|-1
36|GTA (LIMITED LLC|144245
37|Square Humbo ldt Shopping Center, LLC|136075
38|mMössner DHG|206704
39|Van Wincoop Inte. Trade B.V.|-1
40|MEURENS HOLDING|415487
41|The Corp. PB Fund|312245
42|DONATI ALTE RIZI SICAV - S.R.L.|446241
43|CqOE PENSION BD|-1
44|Great LF for Housing Limited Partnership 30|222925
45|PIMCO ETF Trust - PIMCO 7-15 Year FUND U.S. Treasury Index Exchange-Traded Fund|-1
46|CyA COMP ARTIMENT 1|162876
47|Port. CDS Trust 77|252709
48|Pol Polit ion BV|585493
49|GC Square, LjLC|-1
50|Tampereen Kuljetuspalvelu Oy|-1
51|RADIC IFIBRES SPA|312573
52|FRAMY LIBE SL|-1
53|Bamboo Holdings Ltd|130929
54|RGOUPElucien BARRIERE|388517
55|Paribasbnp IFUC|175057
56|cONS. AND SERVI CES S.R.L.|53948
57|Beauf. LLLP II, HAL|-1
58|ASTOM Austria Renewablegmbh FUND|-1
59|FG|530440
60|C BJ SETTLEMENT Trust DISCR ETIONARY|16932
61|Drop SICAV Fioan. B.V.|148454
62|LOMBARDI S.R.L.|569782
63|IMCATEX FRUjTS, S.L.|211203
64|Lars Trust S HH|3065
65|A&M Kelley, LLC Trust|320069
